Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
M-25-0401_27Sr2_UDP0143-UDP0143_L002_R2_001	90.6837766974204	54.0	257.0	257	50.0	0.923357
M-25-0402_27Sr3_UDP0144-UDP0144_L002_R1_001	94.24796779231124	56.0	257.0	257	50.0	1.235233
M-25-0402_27Sr3_UDP0144-UDP0144_L002_R2_001	91.90211532181793	54.0	257.0	257	50.0	1.235233
M-25-0403_28Dr1_UDP0147-UDP0147_L002_R1_001	89.42199888595233	61.0	257.0	257	41.66666666666667	0.42188499999999995
M-25-0403_28Dr1_UDP0147-UDP0147_L002_R2_001	86.64399066096212	58.0	257.0	257	41.66666666666667	0.42188499999999995
M-25-0404_28Dr3_UDP0148-UDP0148_L002_R1_001	89.1507125961062	61.0	257.0	257	50.0	0.32086899999999996
M-25-0404_28Dr3_UDP0148-UDP0148_L002_R2_001	86.73913653235432	58.0	257.0	257	50.0	0.32086899999999996
M-25-0405_28PRr3_UDP0152-UDP0152_L002_R1_001	93.32194861940539	56.0	257.0	257	50.0	0.883641
M-25-0405_28PRr3_UDP0152-UDP0152_L002_R2_001	90.47735449124701	54.0	257.0	257	50.0	0.883641
M-25-0406_28Sr2_UDP0149-UDP0149_L002_R1_001	92.7324411251421	56.0	257.0	257	50.0	0.7626769999999999
M-25-0406_28Sr2_UDP0149-UDP0149_L002_R2_001	91.47738819972282	54.0	257.0	257	50.0	0.7626769999999999
M-25-0407_28Sr3_UDP0150-UDP0150_L002_R1_001	93.38500665417315	58.0	257.0	257	41.66666666666667	1.9552749999999999
M-25-0407_28Sr3_UDP0150-UDP0150_L002_R2_001	92.45964098888385	55.0	257.0	257	41.66666666666667	1.9552749999999999
M-25-0408_29Dr1_UDP0376-UDP0376_L002_R1_001	90.45696944698153	58.0	257.0	257	50.0	0.271528
M-25-0408_29Dr1_UDP0376-UDP0376_L002_R2_001	87.69703308682713	56.0	257.0	257	50.0	0.271528
M-25-0409_29Dr2_UDP0153-UDP0153_L002_R1_001	92.90345491202346	58.0	257.0	257	41.66666666666667	0.87296
M-25-0409_29Dr2_UDP0153-UDP0153_L002_R2_001	88.49709017630728	56.0	257.0	257	50.0	0.87296
M-25-0410_29Dr3_UDP0154-UDP0154_L002_R1_001	91.46120095583981	58.0	257.0	257	50.0	0.727737
M-25-0410_29Dr3_UDP0154-UDP0154_L002_R2_001	88.74497242822613	57.0	257.0	257	41.66666666666667	0.727737
M-25-0411_29PRr1_UDP0157-UDP0157_L002_R1_001	90.75114107809489	59.0	257.0	257	50.0	0.697805
M-25-0411_29PRr1_UDP0157-UDP0157_L002_R2_001	88.63479052170736	57.0	257.0	257	50.0	0.697805
M-25-0412_29PRr3_UDP0159-UDP0159_L002_R1_001	89.79867087490933	58.0	257.0	257	41.66666666666667	0.255055
M-25-0412_29PRr3_UDP0159-UDP0159_L002_R2_001	87.54111858226656	56.0	257.0	257	41.66666666666667	0.255055
M-25-0413_29Sr1_UDP0155-UDP0155_L002_R1_001	91.68361698673004	59.0	257.0	257	50.0	0.67747
M-25-0413_29Sr1_UDP0155-UDP0155_L002_R2_001	88.63506871152967	57.0	257.0	257	41.66666666666667	0.67747
M-25-0414_2Dr1_UDP0008-UDP0008_L002_R1_001	92.84402639848484	58.0	257.0	257	41.66666666666667	1.318409
M-25-0414_2Dr1_UDP0008-UDP0008_L002_R2_001	89.51828700907795	56.0	257.0	257	33.33333333333333	1.318409
