trip	site	shannon	expected_richness_25k	normalized_evenness	temperature_c	pressure_mbar	relative_humidity_pct	transect_km
4	60	3.543482042	390.7581057	0.6850353274	42.89		18.1	496.6102363
5	1	4.732356659	1323.145074	0.6663180444	26.9	894	24.3	-517.7178161
5	2	6.719795733	3058.167335	0.8380591263	27.8	902	23.4	-508.601156
5	3	6.323254328	2146.738108	0.8288053004	29	912	23	-492.2969033
5	4	6.637595872	3191.375438	0.8240940844	32.4	922	18.8	-473.520626
5	5	7.070330856	3355.671872	0.876854079	33.4	924	19.2	-461.9018782
5	6	6.569395815	2833.389538	0.8278443025	36.7	916	14.1	-445.8293645
5	7	6.068784251	1970.821952	0.8029146128	35	918	13.4	-431.6397836
5	8	6.724576793	2927.676126	0.8433289869	34	918	12.9	-415.8003027
5	9	6.580657066	2557.4683	0.8390541578	35.5	918	12.5	-395.7107504
5	10	6.289356101	3294.281701	0.7767783994	35.6	920	10.5	-379.2725562
5	11	6.679436116	3466.156298	0.8200956363	35.6	926	10.7	-360.8242371
5	12	6.797774096	3067.122083	0.8477325908	36.3	928	10.3	-339.7251328
5	13	6.595424728	2775.492266	0.8349114443	36.5	934	10.1	-316.1965033
5	14	5.033474844	1367.514122	0.7024904351	35	936	11.9	-290.6183269
5	15	6.827258019	3112.489172	0.8526085755	34.7	940	11.9	-271.073248
5	16	6.192977202	2155.092376	0.8098240473	33.9	942	13.2	-255.0162042
5	17	6.669459356	2787.926327	0.8432712572	26.4	948	32.1	-233.6971823
5	18	5.997219643	2316.657496	0.7740668776	26.6	950	27	-210.0095507
5	19	6.665814454	3182.541122	0.8308645835	28.2	954	27.5	-188.4893933
5	20	6.304626451	2607.592974	0.8053520319	32.9	958	23.5	-168.4448291
5	21	6.795100476	3350.776216	0.8379885007	33	958	25	-161.4547433
5	22	6.723417816	2994.196446	0.8399619746	35.5	962	20.8	-144.181918
5	23	7.50916258	4314.223393	0.8972668103	36.1	960	21.6	-129.008546
5	24	6.859579564	3135.107735	0.8539261218	36.3	958	18.2	-115.1821155
