sampleID,forwardReads,reverseReads,run
S47Dr1,${EQ_READS_DIR}/ERR16061317_1.fastq.gz,${EQ_READS_DIR}/ERR16061317_2.fastq.gz,ERR16061317
S47PRr1,${EQ_READS_DIR}/ERR16061318_1.fastq.gz,${EQ_READS_DIR}/ERR16061318_2.fastq.gz,ERR16061318
S47Sr1,${EQ_READS_DIR}/ERR16061319_1.fastq.gz,${EQ_READS_DIR}/ERR16061319_2.fastq.gz,ERR16061319
S48Dr1,${EQ_READS_DIR}/ERR16061320_1.fastq.gz,${EQ_READS_DIR}/ERR16061320_2.fastq.gz,ERR16061320
S48PRr1,${EQ_READS_DIR}/ERR16061321_1.fastq.gz,${EQ_READS_DIR}/ERR16061321_2.fastq.gz,ERR16061321
S48Sr1,${EQ_READS_DIR}/ERR16061322_1.fastq.gz,${EQ_READS_DIR}/ERR16061322_2.fastq.gz,ERR16061322
S49Dr1,${EQ_READS_DIR}/ERR16061323_1.fastq.gz,${EQ_READS_DIR}/ERR16061323_2.fastq.gz,ERR16061323
S49PRr1,${EQ_READS_DIR}/ERR16061324_1.fastq.gz,${EQ_READS_DIR}/ERR16061324_2.fastq.gz,ERR16061324
S49Sr1,${EQ_READS_DIR}/ERR16061325_1.fastq.gz,${EQ_READS_DIR}/ERR16061325_2.fastq.gz,ERR16061325
S50Dr1,${EQ_READS_DIR}/ERR16061326_1.fastq.gz,${EQ_READS_DIR}/ERR16061326_2.fastq.gz,ERR16061326
S50PRr1,${EQ_READS_DIR}/ERR16061327_1.fastq.gz,${EQ_READS_DIR}/ERR16061327_2.fastq.gz,ERR16061327
S50Sr1,${EQ_READS_DIR}/ERR16061328_1.fastq.gz,${EQ_READS_DIR}/ERR16061328_2.fastq.gz,ERR16061328
S51Dr1,${EQ_READS_DIR}/ERR16061329_1.fastq.gz,${EQ_READS_DIR}/ERR16061329_2.fastq.gz,ERR16061329
S51PRr1,${EQ_READS_DIR}/ERR16061330_1.fastq.gz,${EQ_READS_DIR}/ERR16061330_2.fastq.gz,ERR16061330
S51Sr1,${EQ_READS_DIR}/ERR16061331_1.fastq.gz,${EQ_READS_DIR}/ERR16061331_2.fastq.gz,ERR16061331
S52Dr1,${EQ_READS_DIR}/ERR16061332_1.fastq.gz,${EQ_READS_DIR}/ERR16061332_2.fastq.gz,ERR16061332
S52PRr1,${EQ_READS_DIR}/ERR16061333_1.fastq.gz,${EQ_READS_DIR}/ERR16061333_2.fastq.gz,ERR16061333
S52Sr1,${EQ_READS_DIR}/ERR16061334_1.fastq.gz,${EQ_READS_DIR}/ERR16061334_2.fastq.gz,ERR16061334
S53Dr1,${EQ_READS_DIR}/ERR16061335_1.fastq.gz,${EQ_READS_DIR}/ERR16061335_2.fastq.gz,ERR16061335
S53PRr1,${EQ_READS_DIR}/ERR16061336_1.fastq.gz,${EQ_READS_DIR}/ERR16061336_2.fastq.gz,ERR16061336
S53Sr1,${EQ_READS_DIR}/ERR16061337_1.fastq.gz,${EQ_READS_DIR}/ERR16061337_2.fastq.gz,ERR16061337
S54Dr1,${EQ_READS_DIR}/ERR16061338_1.fastq.gz,${EQ_READS_DIR}/ERR16061338_2.fastq.gz,ERR16061338
S54PRr1,${EQ_READS_DIR}/ERR16061339_1.fastq.gz,${EQ_READS_DIR}/ERR16061339_2.fastq.gz,ERR16061339
S54Sr1,${EQ_READS_DIR}/ERR16061340_1.fastq.gz,${EQ_READS_DIR}/ERR16061340_2.fastq.gz,ERR16061340
S55Dr1,${EQ_READS_DIR}/ERR16061341_1.fastq.gz,${EQ_READS_DIR}/ERR16061341_2.fastq.gz,ERR16061341
S55PRr1,${EQ_READS_DIR}/ERR16061342_1.fastq.gz,${EQ_READS_DIR}/ERR16061342_2.fastq.gz,ERR16061342
S55Sr1,${EQ_READS_DIR}/ERR16061343_1.fastq.gz,${EQ_READS_DIR}/ERR16061343_2.fastq.gz,ERR16061343
