	depth	richness_raw	richness_rare	shannon	pielou	Trip	Site	Type	Season
e0411_29PRr1	368860.0	2098	1895.8782862036928	6.408640270899472	0.8491147204637088	1	29	Rhizosphere	Spring
e0412_29PRr3	174179.0	1501	1445.4009399579443	6.329028100820555	0.8698329520585856	1	29	Rhizosphere	Spring
e0413_29Sr1	421606.0	1042	972.8363491238979	5.753093155066934	0.836179163382551	1	29	Surface	Spring
e0414_2Dr1	526775.0	4888	3903.179036517939	7.477103175321133	0.9041732882049451	1	2	Deep	Spring
e0415_2Dr3	925540.0	6357	4617.963100547541	7.698230893353158	0.9123603212415673	1	2	Deep	Spring
e0416_2PRr2	227586.0	1657	1526.1426490161202	6.034870259113963	0.8232550767950557	1	2	Rhizosphere	Spring
e0417_2Sr3	666636.0	4171	3029.0630703109573	6.755364700996786	0.8427342097929763	1	2	Surface	Spring
e0418_30Dr1	139558.0	1069	1051.4789941599647	6.172157290523014	0.8870651001274248	1	30	Deep	Spring
e0419_30PRr1	880174.0	3566	2498.9559496488014	6.5415625135095405	0.8361290004783235	1	30	Rhizosphere	Spring
e0420_30PRr3	245489.0	1538	1344.1487938440118	5.765025913917705	0.8003072019441914	1	30	Rhizosphere	Spring
e0421_30Sr1	470055.0	1371	1223.319707683467	5.403642374414848	0.7600782780011465	1	30	Surface	Spring
e0422_30Sr3	448049.0	2023	1740.4632344111442	5.911531066006062	0.7922279647828533	1	30	Surface	Spring
e0423_31Dr2	462115.0	903	857.8730645908449	6.0195819534267	0.8912015747893932	1	31	Deep	Spring
e0424_31PRr2	300114.0	811	705.3839088694153	4.750769274962029	0.7243415163476747	1	31	Rhizosphere	Spring
e0425_31PRr3	227752.0	1144	1006.9348004560036	5.465732877855472	0.790455065189077	1	31	Rhizosphere	Spring
e0426_31Sr2	489913.0	1726	1573.676106977524	6.255046846646303	0.8497354578660523	1	31	Surface	Spring
e0427_32PRr2	657703.0	2029	1641.1615955655495	5.936557082473995	0.8018950603857078	1	32	Rhizosphere	Spring
e0428_33Dr2	567168.0	1811	1627.3319838616414	5.77174268474997	0.7805245544091887	1	33	Deep	Spring
e0429_33PRr1	328498.0	1781	1469.6379849871614	5.474473448443404	0.750671200650929	1	33	Rhizosphere	Spring
e0430_33PRr2	396883.0	1838	1457.6249843567157	5.239384936633843	0.7192448547455098	1	33	Rhizosphere	Spring
e0431_33Sr1	140311.0	991	973.5342382925044	6.042791208970906	0.8781935841842233	1	33	Surface	Spring
e0432_34Dr2	543711.0	1603	1359.4070571550374	5.084108035788933	0.7046772315481211	1	34	Deep	Spring
e0433_34PRr1	274524.0	1257	1084.6294898231486	5.5856240381611295	0.799202898019874	1	34	Rhizosphere	Spring
e0434_34PRr3	435953.0	1343	1094.2140247351383	5.410491459851959	0.7731712760224009	1	34	Rhizosphere	Spring
e0435_34Sr1	429096.0	2149	1868.2394502343777	6.384226619665344	0.8475291357827327	1	34	Surface	Spring
e0436_34Sr3	830488.0	2134	1822.2058727648387	6.389289360104938	0.8510198396911539	1	34	Surface	Spring
e0437_35Dr2	405578.0	1749	1527.092395524178	6.159990994050095	0.8402522823777187	1	35	Deep	Spring
e0438_35Dr3	1708225.0	3121	2226.5417186469913	6.416460443358035	0.8324195527114939	1	35	Deep	Spring
e0439_35Sr2	768244.0	2651	2124.4708415947325	6.351941093844511	0.829096798880534	1	35	Surface	Spring
e0440_36Dr2	270651.0	832	803.2895352386068	5.728591220839864	0.8564561408204333	1	36	Deep	Spring
e0441_36Dr3	622304.0	1423	1242.9751100186377	5.917005956596524	0.8304263156040876	1	36	Deep	Spring
e0442_36Sr3	48989.0	914	912.4067684387837	6.142493649601478	0.9011760901949216	1	36	Surface	Spring
e0443_37Dr2	357294.0	2202	1917.1687976169758	6.4978832541416125	0.859667019615356	1	37	Deep	Spring
e0444_37Dr3	210787.0	1825	1662.668505847695	6.379289869703256	0.8601855163942009	1	37	Deep	Spring
e0445_37PRr2	376528.0	1745	1469.6666684241222	5.94072874683531	0.8146029181445019	1	37	Rhizosphere	Spring
e0446_37PRr3	529869.0	1319	1023.863771481993	5.240281258677159	0.7560272898644366	1	37	Rhizosphere	Spring
