Trip	Site	Type	n_profiles	shannon	sequencing_depth	log_sequencing_depth	dna_kit	kit_recorded
4	3	Surface	1	6.125155027	504288	13.13090281	not_recorded	false
4	4	Deep	1	6.924245243	416306	12.93917585	not_recorded	false
4	4	Rhizosphere	1	6.094916873	194618	12.17879394	not_recorded	false
4	4	Surface	1	6.377092758	391895	12.87874923	not_recorded	false
4	5	Deep	1	5.760700443	380915	12.85033153	not_recorded	false
4	5	Rhizosphere	1	6.164922995	362651	12.80119622	not_recorded	false
4	5	Surface	1	6.106081347	112226	11.62826997	not_recorded	false
4	6	Deep	1	6.796862985	367860	12.81545771	not_recorded	false
4	6	Rhizosphere	1	6.411481531	507052	13.13636884	not_recorded	false
4	6	Surface	1	6.661456725	795417	13.58662178	not_recorded	false
4	7	Deep	1	7.108616721	556882	13.23010865	not_recorded	false
4	7	Rhizosphere	1	6.328377115	221959	12.31024796	not_recorded	false
4	7	Surface	1	6.762464225	529525	13.17973566	not_recorded	false
4	8	Deep	1	6.067506811	583897	13.27747988	not_recorded	false
4	8	Rhizosphere	1	6.637149743	563748	13.24236262	not_recorded	false
4	8	Surface	1	5.970346007	543835	13.20640117	not_recorded	false
4	9	Deep	1	5.881963056	339715	12.73586231	not_recorded	false
4	9	Rhizosphere	1	5.09327103	99086	11.50374344	not_recorded	false
4	9	Surface	1	6.195848827	518496	13.15868759	not_recorded	false
4	10	Deep	1	6.139390696	427301	12.96524396	not_recorded	false
4	10	Rhizosphere	1	3.302568535	175679	12.07641375	not_recorded	false
4	10	Surface	1	6.283618338	448414	13.01347219	not_recorded	false
4	11	Deep	1	6.459004332	443602	13.00268304	not_recorded	false
4	11	Rhizosphere	1	6.022684181	259816	12.46772897	not_recorded	false
4	11	Surface	1	5.858415978	490941	13.10407924	not_recorded	false
4	12	Deep	1	6.721066497	637514	13.36533152	not_recorded	false
4	12	Rhizosphere	1	6.225947286	290486	12.57931066	not_recorded	false
4	12	Surface	1	6.20247786	883286	13.69140432	not_recorded	false
4	13	Deep	1	6.609463819	602152	13.30826518	not_recorded	false
4	13	Rhizosphere	1	6.953695778	519732	13.16106857	not_recorded	false
4	13	Surface	1	6.288791477	569978	13.25335304	not_recorded	false
4	14	Deep	1	6.717334544	652895	13.3891716	not_recorded	false
4	14	Rhizosphere	1	3.468795826	209711	12.25348567	not_recorded	false
4	14	Surface	1	6.111313303	403700	12.90842731	not_recorded	false
4	15	Deep	1	7.394971023	477736	13.07681356	not_recorded	false
4	15	Rhizosphere	1	7.385921176	355904	12.78241631	not_recorded	false
4	15	Surface	1	7.263797911	594496	13.29546927	not_recorded	false
4	16	Deep	1	6.988248774	475095	13.07127006	not_recorded	false
4	16	Rhizosphere	1	6.349438557	357655	12.78732411	not_recorded	false
4	16	Surface	1	6.986790961	618043	13.33431331	not_recorded	false
