profile	role	campaign	compartment	total_reads	removed_reads	removed_read_fraction	total_features	removed_features
e8398_F21Sr3	biological	Trip3	surface	292019	30	0.000103	1679	2
e8399_F11PRr3	biological	Trip3	root-adjacent	563387	11065	0.019640	2122	13
e8400_F12PRr2	biological	Trip3	root-adjacent	113346	2923	0.025788	1535	3
e8401_F13PRr1	biological	Trip3	root-adjacent	131374	463	0.003524	1537	7
e8402_F14Sr3	biological	Trip3	surface	240291	1344	0.005593	2022	14
e8403_F15Sr2	biological	Trip3	surface	112093	333	0.002971	1068	4
e8404_F16Sr1	biological	Trip3	surface	310310	1426	0.004595	2873	18
e8405_F17Dr3	biological	Trip3	deep	524932	1606	0.003059	2425	10
e8406_F18Dr2	biological	Trip3	deep	591644	197	0.000333	1393	3
e8407_F19Dr1	biological	Trip3	deep	959051	5107	0.005325	1950	16
e8408_F19PRr3	biological	Trip3	root-adjacent	133484	1820	0.013635	894	1
e8409_F20PRr2	biological	Trip3	root-adjacent	665373	9446	0.014197	2711	28
e8410_F21PRr1	biological	Trip3	root-adjacent	68085	4	0.000059	629	1
e8411_F12Dr1	biological	Trip3	deep	337470	819	0.002427	3822	11
e8412_F12PRr3	biological	Trip3	root-adjacent	160699	519	0.003230	900	4
e8413_F13PRr2	biological	Trip3	root-adjacent	143880	979	0.006804	1271	10
e8414_F14PRr1	biological	Trip3	root-adjacent	51655	6880	0.133191	649	35
e8415_F15Sr3	biological	Trip3	surface	243728	815	0.003344	1631	7
e8416_F16Sr2	biological	Trip3	surface	329610	1054	0.003198	3128	12
e8417_F17Sr1	biological	Trip3	surface	560472	2879	0.005137	1989	15
e8418_F18Dr3	biological	Trip3	deep	446705	225	0.000504	3519	5
e8419_F19Dr2	biological	Trip3	deep	923962	3418	0.003699	2371	16
e8420_F20Dr1	biological	Trip3	deep	577705	4462	0.007724	1379	4
e8421_F20PRr3	biological	Trip3	root-adjacent	471970	5316	0.011263	2739	26
e8422_F21PRr2	biological	Trip3	root-adjacent	575564	1970	0.003423	3424	17
e8423_F12Dr2	biological	Trip3	deep	404342	717	0.001773	3837	9
e8424_F13Dr1	biological	Trip3	deep	325171	594	0.001827	2724	8
e8425_F13PRr3	biological	Trip3	root-adjacent	177534	539	0.003036	1997	10
e8426_F14PRr2	biological	Trip3	root-adjacent	86902	15821	0.182056	595	39
